"route_id","route_short_name","route_type","route_desc","route_color"
"9600","960","3","Móricz Zsigmond körtér M / Békásmegyer, Újmegyeri tér","1E1E1E"
"9630","963","3","Hűvösvölgy / Nagykovácsi, Tisza István tér","1E1E1E"
"9640","964","3","Hűvösvölgy / Solymár, PEMÜ","1E1E1E"
"9660","966","3","Határ út M / Millenniumtelep H","1E1E1E"
"9680","968","3","Cinkotai autóbuszgarázs / Kispest, Kossuth tér","1E1E1E"
"9720","972","3","Móricz Zsigmond körtér M / Nyár utca","1E1E1E"
"9722","972B","3","Móricz Zsigmond körtér M / Nyár utca","1E1E1E"
"9730","973","3","Újpalota, Szentmihályi út / Nagytétény, ipartelep","1E1E1E"
"9790","979","3","Újpalota, Nyírpalota út / Csepel, Csillagtelep","1E1E1E"
"9791","979A","3","Deák Ferenc tér M / Csepel, Csillagtelep","1E1E1E"
"9800","980","3","Dél-pesti autóbuszgarázs / Rákoskeresztúr, városközpont","1E1E1E"
"9900","990","3","Normafa / Rákoskeresztúr, városközpont","1E1E1E"
"9920","992","3","Cinkotai autóbuszgarázs / Gödöllő H","1E1E1E"
"9940","994","3","Dél-pesti autóbuszgarázs / Gyál, Vecsési út","1E1E1E"
"9960","996","3","Újpest-Központ M / Cinkotai autóbuszgarázs","1E1E1E"
"9961","996A","3","Újpest-Központ M / Cinkotai autóbuszgarázs","1E1E1E"
"9980","998","3","Rákoskeresztúr, városközpont / Rákoskeresztúr, városközpont","1E1E1E"
"9990","999","3","Határ út M / Dél-pesti autóbuszgarázs","1E1E1E"
"9KT01","9KT01","3","Örs vezér tere M+H / Kőbányai garázs","1E1E1E"
"HP61","H8","3","Örs vezér tere M+H / Cinkota H","009FE3"
"KT01","KT01","3","Örs vezér tere M+H / Kőbányai garázs","009FE3"
"MOZG","MOZG","3","Óbudai autóbuszgarázs / Széll Kálmán tér M","009FE3"
"TGAZ","TGAZ","3","Főgáz telephely / Dél-pesti autóbuszgarázs","009FE3"
"VP03","3","3","Mexikói út M / Örs vezér tere M+H","009FE3"
"VP06","6","3","Móricz Zsigmond körtér M / Széll Kálmán tér M","009FE3"
"VP17","17","3","Savoya Park / Albertfalva kitérő","009FE3"
"VP41","41","3","Albertfalva kitérő / Kamaraerdő","009FE3"
"VP47","47","3","Albertfalva kitérő / Városház tér","009FE3"
"VP51","51","3","Mester utca / Ferenc körút / Nagysándor József utca","009FE3"
"VP511","51A","3","Mester utca / Ferenc körút / Ferencváros vá. - Málenkij Robot Eh.","009FE3"
"VP52","52","3","Határ út M / Pesterzsébet, Pacsirtatelep","009FE3"
