"route_id","route_short_name","route_type","route_desc","route_color"
"2770","277","3","Örs vezér tere M+H / Bosnyák tér","009FE3"
"2780","278","3","Csepel, Szent Imre tér / Szigetszentmiklós, Szabadság utca","009FE3"
"2790","279","3","Lakihegy, Cseresznyés utca / József Attila utca","009FE3"
"2800","280","3","Auchan Sziget áruház / József Attila utca","009FE3"
"2810","281","3","Aszódi utca / Aszódi utca","009FE3"
"2825","282E","3","Kőbánya-Kispest M / Alacskai úti lakótelep","009FE3"
"2845","284E","3","Kőbánya-Kispest M / Pestszentimre, Benjámin utca","009FE3"
"2870","287","3","Budaörsi lakótelep / Budatétény vasútállomás (Campona)","009FE3"
"2910","291","3","Nyugati pályaudvar M / Zugliget, Libegő","009FE3"
"2945","294E","3","Határ út M / Rákóczi Ferenc utca","009FE3"
"2960","296","3","Újpalota, Szentmihályi út / Békásmegyer, Újmegyeri tér","009FE3"
"2961","296A","3","Újpalota, Szentmihályi út / Káposztásmegyer, Szilas-patak","009FE3"
"2970","297","3","Rákoscsaba-Újtelep vasútállomás / Nyeremény utca","009FE3"
"2980","298","3","Rákoscsaba vasútállomás / Zimonyi utca","009FE3"
"3010","1","0","Etele út / Fehérvári út / Bécsi út / Vörösvári út","FFD800"
"3020","2","0","Jászai Mari tér / Közvágóhíd H","FFD800"
"3027","DH","0","Jászai Mari tér / Közvágóhíd H","FFD800"
"3030","3","0","Örs vezér tere M+H / Gubacsi út / Határ út","FFD800"
"3040","4","0","Széll Kálmán tér M / Újbuda-központ M","FFD800"
"3060","6","0","Széll Kálmán tér M / Móricz Zsigmond körtér M","FFD800"
"3120","12","0","Angyalföld kocsiszín / Rákospalota, Kossuth utca","FFD800"
"3140","14","0","Lehel tér M / Káposztásmegyer, Megyeri út","FFD800"
"3170","17","0","Albertfalva kitérő / Bécsi út / Vörösvári út","FFD800"
"3190","19","0","Bécsi út / Vörösvári út / Kelenföld vasútállomás M","FFD800"
"3240","24","0","Keleti pályaudvar M / Közvágóhíd H","FFD800"
